F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
32.02638,0.042324573,31.114649,32.03919,33.517998,2.403349,17.539724,7.9478154,13.164539,8.103822,0.31287393,1.1358122,0.0017586249,0.17531157,0.6858394,0.6840808,4.9662495,2.44376,5.1402497,2.9360044,0.07493245,1.255135,15.074975,1.2008214,1.8894873,4.547107,6.63247,1.9394614,0.92223775,10.976863,0.008884685,1.3546462,0.8126963,0.90678537,9.208476,0.3372589,-0.5799725,-10.778166,18.44178,0.34012493,490.04303,0.47115973,1092.7013,0.2076909,-108.963066,-0.89061147,1442.3384,0.1897903,819.30774,0.34345615,-109.424286,-0.85059935,2469.3562,0.1072651,640.5234,0.450331,-112.82983,-0.7933845,-11.324592,-0.49203742,19.209967,0.34058288,0.11418503,0.26009515,-0.011657157,-0.7998172,0.14746088,0.5925353,29.361345,0.4023723,1.4155585,8.004759,11.62481,1.3687214,0.37100083,35.105038,0.124067895,6.7609844,0.103545494,0.016386187,0.010249505,1.8957347,0.7194244,0.6666666,0.45433715,0.525,0.46526873,-38.082783,01
32.253296,0.037540387,31.21406,31.996094,33.844692,2.6306324,16.02783,10.768567,10.85148,10.068206,0.362307,1.1445923,0.0015541604,0.20198163,0.80553293,0.8039788,5.2838283,2.77206,4.725048,2.3515732,0.08983833,1.2812119,14.858997,1.1523834,1.7446064,5.8327417,7.206772,1.7113122,1.7560185,5.932491,0.010382879,1.272044,0.8513056,0.94268805,8.936254,0.38887,-2.679827,-2.4882526,14.95271,0.4044716,442.17468,0.44387102,1054.2158,0.23129803,-104.348885,-0.9293746,1396.2845,0.16486822,746.4932,0.2624894,-103.872574,-0.90674114,2434.193,0.088241085,599.67456,0.33121383,-107.56362,-0.8407703,-10.07681,-0.5503074,18.495977,0.370118,0.09816886,0.360859,-0.013879436,-0.5662648,0.17354742,0.6234689,27.815203,0.4221784,-0.32866555,-37.062515,10.759285,1.4373701,0.192108,65.726524,-1.9431944,10.318894,0.10067323,0.017010534,0.0050505074,1.6431925,0.4750594,1.0699999,0.53999996,0.67333335,0.4481319,-36.24353,01
32.576817,0.1332875,31.015865,32.04138,33.40075,2.3848839,32.623623,21.509153,43.104023,0.0,0.315002,1.1383288,0.002294275,0.12371972,0.6743069,0.6720126,5.020448,3.2203083,4.1703143,2.9340672,0.0897868,1.257306,14.2355385,1.3196417,3.7995157,2.5638788,9.229687,1.1281692,0.7132513,16.890413,0.012597041,1.2097796,0.87287176,1.0472703,8.361979,0.4369311,0.32592726,20.903563,17.648727,0.499724,473.1744,0.54129106,1118.1229,0.23456298,-114.06246,-0.84347856,1419.5474,0.21319155,813.3209,0.32434693,-111.20323,-0.8218457,2483.6848,0.13577178,651.8415,0.45348564,-113.72828,-0.7797121,-10.917494,-0.6434511,18.456612,0.45258674,0.10656274,0.3434282,-0.013603971,-0.72389704,0.1746629,0.59393424,28.028788,0.5393579,3.1048803,3.7078652,14.078987,0.7462829,-2.4829051,-6.192609,-1.1431183,8.871259,0.09729435,0.015891844,0.0154219875,1.923077,1.216545,0.38599998,0.32970285,0.412,0.4517256,-37.828857,01
32.17611,0.03792654,31.20279,32.054234,33.498535,2.2957458,29.434393,23.16602,11.653567,5.747996,0.34320146,1.101853,0.0023042439,0.18174765,0.7733561,0.7710518,5.01995,2.5970418,4.0583096,2.3169744,0.08638089,1.2066941,13.837878,1.2925683,3.5373812,2.644395,8.209754,1.1254659,1.0132635,9.525969,0.008536023,1.0479782,0.7994579,0.9739064,8.978051,0.38553795,-0.6410578,-10.917849,17.24526,0.2782432,451.75378,0.46173367,1090.1924,0.16259615,-107.489395,-0.9031339,1415.3734,0.19650789,753.97205,0.28842136,-108.634445,-0.85189074,2436.2048,0.090611935,593.1857,0.48354068,-111.73486,-0.7994308,-10.998646,-0.5391402,18.930065,0.36535424,0.106040314,0.30774704,-0.013206572,-0.631453,0.16781425,0.5352352,27.786121,0.44526294,2.3259113,4.7471094,12.198367,0.85251987,-0.37843055,-32.399025,0.28760713,6.8799496,0.09366301,0.0137995025,0.01014356,1.9417477,0.7371008,0.65999997,0.4384062,0.505,0.4604617,-37.25303,01
32.771717,0.06908894,31.153702,31.918123,35.852543,4.698841,16.382936,9.594124,13.963117,9.305627,0.29214323,1.0484447,0.0035480577,0.19781874,0.612956,0.6094079,4.2367616,1.667542,3.846555,1.8092304,0.06874543,1.1626205,16.85341,1.0703083,4.0959044,2.209715,8.426805,1.4600333,2.9005637,3.9541075,0.010533566,1.4076531,0.74860966,0.9480487,9.837569,0.3364884,-0.5171711,-11.85653,17.51089,0.37307715,492.09497,0.48286676,1084.4586,0.17157584,-102.12675,-0.9356545,1467.6146,0.20821908,790.5687,0.4181264,-104.68546,-0.86301994,2501.655,0.1185763,619.64307,0.3793966,-107.53957,-0.8148586,-13.673356,-0.4317671,21.766325,0.33764765,0.092933655,0.25732613,-0.012893284,-0.778234,0.12779973,0.53359497,30.518852,0.3907898,4.8211126,2.3228695,12.357904,1.1713605,2.9909303,4.83944,-0.32148936,7.7792754,0.08098851,0.012147091,0.0043577054,1.8348624,0.46403712,1.13,0.55,0.6666666,0.4443222,-38.14237,02
32.667942,0.065518685,31.263319,32.097435,35.721237,4.457918,14.956978,5.5652595,10.08326,5.5650806,0.32366326,1.0861375,0.0020109494,0.20289876,0.6796173,0.67760634,3.9993515,2.0912986,5.095785,2.6331556,0.07928467,1.2111276,15.653476,1.1390905,3.8285434,2.296416,8.060393,1.5330151,2.2005048,5.0943713,0.009865385,1.3927633,0.7059006,1.0037496,9.788429,0.31629723,-1.3890495,-4.030602,17.246204,0.29307443,488.4925,0.4592909,1078.2584,0.1938815,-103.75905,-0.9276903,1458.4893,0.20420948,754.35535,0.22994624,-104.62974,-0.8792809,2492.761,0.09329055,665.1032,0.5684209,-108.304375,-0.815812,-12.432776,-0.43274403,20.739058,0.28270438,0.099535115,0.22045636,-0.011365387,-0.8643118,0.14949848,0.57572424,29.861443,0.34512424,3.3560615,3.2609823,12.056087,1.2058556,1.3830132,9.325691,-0.15156144,8.009266,0.09817846,0.015591885,0.005733417,1.8223236,0.46082953,1.12,0.52,0.68333334,0.45050588,-37.14046,02
31.485855,0.09931082,30.429932,31.563213,32.89892,2.4689865,105.49201,147.31143,22.221418,14.3163595,0.25761157,1.0303837,0.003163124,0.17751648,0.5243443,0.5211812,3.0721974,1.8335624,2.8450196,1.8818433,0.064624354,1.1691802,17.332397,1.1552621,9.129884,1.123873,8.354216,1.2734547,3.9165487,2.7767131,0.02263534,3.3016114,0.89758855,1.0810618,8.991976,0.43173712,0.9111209,7.3950157,20.261133,0.43867263,487.25873,0.5174995,1148.8054,0.24305618,-101.04229,-0.9382117,1421.8892,0.19783519,825.12177,0.38177451,-101.99721,-0.8765609,2508.1035,0.10151849,622.40094,0.51821613,-105.98846,-0.80873317,-15.061421,-0.49276128,24.24754,0.36009914,0.08836994,0.36173972,-0.014028113,-0.69272363,0.11019965,0.64201474,31.665821,0.40873381,10.100163,0.99222034,11.29721,1.1030817,2.4707885,5.254733,-1.0937777,8.928734,0.06998104,0.014448284,0.011898537,2.0044544,0.9009009,0.59499997,0.5523359,0.48999998,0.41862872,-39.474854,02
32.35709,0.06893075,30.930483,31.847067,35.431458,4.5009747,138.41576,207.72893,20.014923,13.521689,0.33547202,1.0133978,0.0017748644,0.273395,0.6963727,0.69459784,4.171532,1.9193132,3.909472,2.9211187,0.08458555,1.1745231,16.357967,1.1535056,4.5103064,2.0929132,6.1803985,1.5644562,1.1056403,9.351265,0.0089781275,1.4343436,0.67670655,1.0372484,9.839926,0.3299815,-0.11996542,-58.18544,19.327257,0.27101803,452.61267,0.41886866,1158.0597,0.18801749,-105.26275,-0.9201158,1397.5011,0.17432256,819.6403,0.29344028,-106.04315,-0.8651294,2470.3193,0.09546005,612.5764,0.36155868,-109.94929,-0.7991514,-13.562806,-0.4195684,22.303364,0.3080985,0.10256684,0.2133582,-0.015173075,-0.61171514,0.15024896,0.5852679,31.890781,0.34510013,4.4845448,1.9114573,8.985015,1.2427403,-0.452622,-29.027216,0.7013002,6.795797,0.10203972,0.016506549,0.022778733,1.8099548,0.6864989,0.7366666,0.6832439,0.5225,0.43996447,-36.58439,02
32.61386,0.06201966,31.453663,32.012115,35.72768,4.2740173,6.1021776,4.001706,8.5615,1.7680262,0.25542367,1.0124137,0.0024149548,0.20007569,0.5075978,0.50518286,2.957346,1.2661673,2.8472013,1.6259422,0.052387137,1.1720574,19.500994,1.0125484,2.848685,3.217655,7.8908687,1.449579,1.1861439,9.689643,0.008479573,1.246881,0.73252517,1.1045173,10.0966835,0.29780892,-1.3656604,-4.004238,20.250954,0.26983228,450.13956,0.3648971,1173.1388,0.2209469,-93.87132,-1.0289632,1412.0236,0.14400987,867.09875,0.25481,-96.454056,-0.94379437,2459.4219,0.08205561,766.22766,0.50189847,-101.53609,-0.85217774,-14.190129,-0.39045465,24.024178,0.28797048,0.105942935,0.27546248,-0.015074994,-0.38171655,0.09037522,0.6337412,34.186543,0.29041395,1.0221144,9.626369,11.232228,1.1607296,-2.218756,-5.2773023,-0.7886028,9.047256,0.08672048,0.015418682,0.0047094,1.7057569,0.4310345,1.305,0.705,0.65999997,0.43181786,-40.796547,02
32.691532,0.071302354,31.255926,32.17721,36.02228,4.7663555,15.582075,10.747303,10.184765,6.418504,0.25342748,1.1044773,0.0023704683,0.14742543,0.52013266,0.5177622,3.1338336,1.5270437,3.605572,1.9989312,0.057358768,1.2686726,16.704418,1.1418813,3.4992313,2.8048658,7.392666,1.7944577,2.6993616,4.4629483,0.011640833,1.2838486,0.82667124,1.0077449,9.518767,0.385401,0.66174144,9.477077,20.234634,0.3081916,467.60147,0.4747915,1104.3394,0.2027877,-100.17019,-0.96472895,1429.3423,0.20125145,809.0662,0.30285308,-102.46417,-0.8948983,2436.006,0.09705196,652.6016,0.27034846,-106.562996,-0.82376283,-12.999397,-0.50911057,22.44145,0.33944488,0.10747582,0.22482413,-0.012708018,-0.77150446,0.10509583,0.6726181,31.230198,0.38281387,3.2721062,3.659445,11.449393,1.4049318,1.4246752,10.291795,0.43387645,7.285227,0.09565646,0.016979974,0.004910475,1.7817373,0.45045045,1.175,0.555,0.68,0.43150896,-40.443005,02
